desc,receiver_player_name,down,ydstogo,qtr,pass_location,pass_length,air_yards,yardline_100,side_of_field,complete_pass,yards_gained,touchdown,interception,passer_player_name
(11:33) (Shotgun) 10-B.Nix pass deep right intended for 14-C.Sutton INTERCEPTED by 0-C.Bynum at IND 9. 0-C.Bynum to IND 9 for no gain (14-C.Sutton).,C.Sutton,3.0,3,4,right,deep,19.0,28,IND,0.0,0.0,0.0,1.0,B.Nix
(5:39) (Shotgun) 10-B.Nix pass short left to 1-E.Engram to IND 43 for 12 yards (23-K.Moore; 44-Z.Franklin).,E.Engram,2.0,11,4,left,short,5.0,55,DEN,1.0,12.0,0.0,0.0,B.Nix
(3:59) (Shotgun) 10-B.Nix pass incomplete short left to 13-P.Bryant (94-T.Lewis).,P.Bryant,2.0,24,4,left,short,0.0,39,IND,0.0,0.0,0.0,0.0,B.Nix
(3:55) (Shotgun) 10-B.Nix pass short right to 11-T.Franklin to IND 24 for 15 yards (99-D.Buckner).,T.Franklin,3.0,24,4,right,short,-3.0,39,IND,1.0,15.0,0.0,0.0,B.Nix
(11:49) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey to DEN 36 for 3 yards (48-B.Dupree).,R.Harvey,1.0,10,1,right,short,-3.0,67,DEN,1.0,3.0,0.0,0.0,B.Nix
"(10:26) (No Huddle, Shotgun) 10-B.Nix pass incomplete short middle to 85-L.Krull.",L.Krull,3.0,3,1,middle,short,5.0,60,DEN,0.0,0.0,0.0,0.0,B.Nix
(5:47) (Shotgun) 10-B.Nix pass incomplete short right.,,2.0,20,1,right,short,6.0,71,DEN,0.0,0.0,0.0,0.0,B.Nix
(5:40) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey to DEN 38 for 9 yards (3-D.James).,R.Harvey,3.0,20,1,right,short,-5.0,71,DEN,1.0,9.0,0.0,0.0,B.Nix
(1:56) 10-B.Nix pass incomplete short left to 27-J.Dobbins.,J.Dobbins,2.0,12,1,left,short,-7.0,48,LAC,0.0,0.0,0.0,0.0,B.Nix
(1:52) (Shotgun) 10-B.Nix pass incomplete deep left to 14-C.Sutton (24-B.St-Juste).,C.Sutton,3.0,12,1,left,deep,17.0,48,LAC,0.0,0.0,0.0,0.0,B.Nix
(10:23) 10-B.Nix pass short right to 14-C.Sutton to DEN 22 for 13 yards (29-T.Still).,C.Sutton,1.0,10,2,right,short,13.0,91,DEN,1.0,13.0,0.0,0.0,B.Nix
(8:19) (Shotgun) 10-B.Nix pass deep middle to 14-C.Sutton to DEN 46 for 19 yards (23-T.Jefferson).,C.Sutton,3.0,5,2,middle,deep,18.0,73,DEN,1.0,19.0,0.0,0.0,B.Nix
(7:38) (Shotgun) 10-B.Nix sacked at DEN 40 for -6 yards (3-D.James).,,1.0,10,2,,,,54,DEN,0.0,-6.0,0.0,0.0,B.Nix
(6:13) (Shotgun) 10-B.Nix pass incomplete deep right to 19-M.Mims [91-D.Hand].,M.Mims,3.0,19,2,right,deep,47.0,63,DEN,0.0,0.0,0.0,0.0,B.Nix
(1:46) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to DEN 36 for 8 yards (3-D.James).,C.Sutton,1.0,10,2,left,short,7.0,72,DEN,1.0,8.0,0.0,0.0,B.Nix
"(1:26) (No Huddle, Shotgun) 10-B.Nix pass incomplete short middle to 11-T.Franklin (91-D.Hand).",T.Franklin,2.0,2,2,middle,short,14.0,64,DEN,0.0,0.0,0.0,0.0,B.Nix
(1:22) (Shotgun) 10-B.Nix pass short right to 14-C.Sutton to DEN 40 for 4 yards (26-D.Jackson).,C.Sutton,3.0,2,2,right,short,4.0,64,DEN,1.0,4.0,0.0,0.0,B.Nix
"(1:02) (No Huddle, Shotgun) 10-B.Nix pass incomplete short left to 19-M.Mims.",M.Mims,1.0,10,2,left,short,15.0,60,DEN,0.0,0.0,0.0,0.0,B.Nix
(:58) (Shotgun) 10-B.Nix pass incomplete deep right [29-T.Still].,,2.0,10,2,right,deep,25.0,60,DEN,0.0,0.0,0.0,0.0,B.Nix
"(:46) (Shotgun) 10-B.Nix pass deep left to 14-C.Sutton for 52 yards, TOUCHDOWN.",C.Sutton,4.0,2,2,left,deep,34.0,52,DEN,1.0,52.0,1.0,0.0,B.Nix
"(12:47) (No Huddle, Shotgun) 10-B.Nix pass incomplete deep right to 19-M.Mims [92-J.Eboigbe].",M.Mims,2.0,8,3,right,deep,28.0,28,LAC,0.0,0.0,0.0,0.0,B.Nix
(12:41) (Shotgun) 10-B.Nix pass short left to 19-M.Mims pushed ob at LAC 24 for 4 yards (50-C.Murphy).,M.Mims,3.0,8,3,left,short,-2.0,28,LAC,1.0,4.0,0.0,0.0,B.Nix
(5:29) 10-B.Nix pass short left to 11-T.Franklin to DEN 35 for 1 yard (43-T.Dye; 3-D.James).,T.Franklin,1.0,10,3,left,short,-4.0,66,DEN,1.0,1.0,0.0,0.0,B.Nix
(4:30) (Shotgun) 10-B.Nix pass short middle to 12-R.Harvey to DEN 35 for 2 yards (29-T.Still).,R.Harvey,3.0,11,3,middle,short,2.0,67,DEN,1.0,2.0,0.0,0.0,B.Nix
(15:00) (Shotgun) 10-B.Nix pass short middle to 85-L.Krull to LAC 32 for 9 yards (23-T.Jefferson; 3-D.James). (Virtual Measurement).,L.Krull,3.0,10,4,middle,short,6.0,41,LAC,1.0,9.0,0.0,0.0,B.Nix
"(14:21) 10-B.Nix pass short middle to 14-C.Sutton to LAC 10 for 22 yards (32-A.Gilman). PENALTY on LAC-32-A.Gilman, Face Mask, 5 yards, enforced at LAC 10.",C.Sutton,4.0,1,4,middle,short,8.0,32,LAC,1.0,22.0,0.0,0.0,B.Nix
(12:28) (Shotgun) 10-B.Nix pass incomplete short right to 11-T.Franklin (23-T.Jefferson).,T.Franklin,3.0,8,4,right,short,5.0,8,LAC,0.0,0.0,0.0,0.0,B.Nix
(6:42) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to DEN 17 for 7 yards (32-A.Gilman).,T.Franklin,2.0,20,4,left,short,-3.0,90,DEN,1.0,7.0,0.0,0.0,B.Nix
(2:31) (Shotgun) 10-B.Nix sacked ob at DEN 22 for 0 yards (43-T.Dye).,,1.0,10,4,,,,78,DEN,0.0,0.0,0.0,0.0,B.Nix
