desc,play_type,qtr,ydstogo,ydsnet,yardline_100,half_seconds_remaining,quarter_seconds_remaining,game_half
(2:00) (Shotgun) 10-B.Nix pass short right to 11-T.Franklin to DEN 41 for 5 yards (30-J.Campbell; 52-Z.Smith).,pass,2,10,21,64,120,120,Half1
"(1:36) (No Huddle, Shotgun) 10-B.Nix pass incomplete short middle to 28-T.Badie.",pass,2,5,21,59,96,96,Half1
(1:32) (Shotgun) 10-B.Nix pass incomplete deep left to 11-T.Franklin.,pass,2,5,21,59,92,92,Half1
(:52) (Shotgun) 10-B.Nix pass short right to 1-E.Engram to DEN 41 for -3 yards (33-C.DeJean).,pass,2,10,-3,56,52,52,Half1
"(:28) (No Huddle, Shotgun) 10-B.Nix pass incomplete short left to 14-C.Sutton (27-Q.Mitchell).",pass,2,13,-3,59,28,28,Half1
(:21) (Shotgun) 10-B.Nix pass incomplete deep right to 19-M.Mims.,pass,2,13,-3,59,21,21,Half1
(12:35) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey pushed ob at DEN 27 for 11 yards (30-J.Campbell).,pass,3,12,40,84,1655,755,Half2
"(8:21) (Shotgun) 10-B.Nix pass incomplete short right [53-Z.Baun]. PENALTY on DEN-10-B.Nix, Intentional Grounding, 13 yards, enforced at PHI 35.",pass,3,8,40,35,1401,501,Half2
(8:16) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to PHI 42 for 6 yards (53-Z.Baun).,pass,3,21,40,48,1396,496,Half2
(3:56) (Shotgun) 10-B.Nix pass incomplete short right to 19-M.Mims.,pass,3,2,8,72,1136,236,Half2
(2:38) (Shotgun) 10-B.Nix pass short right to 1-E.Engram pushed ob at DEN 43 for 7 yards (30-J.Campbell).,pass,3,10,64,64,1058,158,Half2
(1:29) (Shotgun) 10-B.Nix pass incomplete deep right to 19-M.Mims.,pass,3,10,64,52,989,89,Half2
"(:44) (No Huddle, Shotgun) 10-B.Nix pass short right to 14-C.Sutton to PHI 38 for 6 yards (27-Q.Mitchell).",pass,3,2,64,44,944,44,Half2
(:07) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to PHI 32 for 6 yards (33-C.DeJean).,pass,3,10,64,38,907,7,Half2
(14:23) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin ran ob at PHI 9 for 10 yards (24-A.Mukuba).,pass,4,10,64,19,863,863,Half2
(11:08) (Shotgun) 10-B.Nix pass deep left to 1-E.Engram to DEN 46 for 18 yards (7-K.Ringo). ** Injury Update: DEN-69-M.McGlinchey has returned to the game.,pass,4,10,72,72,668,668,Half2
"(10:36) (No Huddle, Shotgun) 10-B.Nix pass short left to 14-C.Sutton to PHI 40 for 14 yards (27-Q.Mitchell).",pass,4,10,72,54,636,636,Half2
