Description,Throw Depth,Pass Location,Complete Pass
"(:10) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT RIGHT TO 33-J.WILLIAMS.",Short,Right,0
(:32) (SHOTGUN) 10-B.NIX PASS DEEP RIGHT TO 14-C.SUTTON TO KC 15 FOR 32 YARDS (13-N.JOHNSON).,Deep,Right,1
"(4:59) 10-B.NIX PASS SHORT MIDDLE TO 14-C.SUTTON FOR 10 YARDS, TOUCHDOWN.",Short,Middle,1
"(12:04) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 19-M.MIMS FOR 32 YARDS, TOUCHDOWN.",Short,Right,1
(13:25) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 17-D.VELE TO KC 42 FOR 5 YARDS (27-C.CONNER).,Short,Right,1
(6:17) (SHOTGUN) 10-B.NIX PASS INCOMPLETE DEEP RIGHT TO 16-T.FRANKLIN (33-S.WOMACK).,Deep,Right,0
(6:59) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 19-M.MIMS PUSHED OB AT IND 29 FOR 6 YARDS (40-J.JONES; 97-L.LATU).,Short,Left,1
(14:20) (SHOTGUN) 10-B.NIX PASS DEEP RIGHT TO 14-C.SUTTON TO LAC 11 FOR 18 YARDS (23-T.JEFFERSON).,Deep,Right,1
(15:00) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 14-C.SUTTON TO LAC 29 FOR 4 YARDS (7-K.FULTON).,Short,Left,1
(:12) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 17-D.VELE PUSHED OB AT LAC 33 FOR 15 YARDS (36-J.TAYLOR).,Short,Left,1
(:15) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT RIGHT TO 33-J.WILLIAMS (52-K.MACK).,Short,Right,0
"(6:54) (NO HUDDLE) 10-B.NIX PASS SHORT RIGHT TO 17-D.VELE FOR 3 YARDS, TOUCHDOWN.",Short,Right,1
"(12:08) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 14-C.SUTTON TO KC 36 FOR 5 YARDS (27-C.CONNER). PENALTY ON DEN-84-L.HUMPHREY, OFFENSIVE PASS INTERFERENCE, 10 YARDS, ENFORCED AT KC 41 - NO PLAY.",Short,Left,1
(12:46) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 19-M.MIMS TO KC 41 FOR 3 YARDS (30-C.ROLAND-WALLACE).,Short,Right,1
(13:28) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 19-M.MIMS TO KC 44 FOR 3 YARDS (39-K.TAYLOR). ** INJURY UPDATE: DEN-84-L.HUMPHREY HAS RETURNED TO THE GAME.,Short,Left,1
(8:03) (SHOTGUN) 10-B.NIX PASS SHORT MIDDLE TO 45-N.ADKINS TO KC 9 FOR 5 YARDS (44-CA.JONES).,Short,Middle,1
(9:11) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 16-T.FRANKLIN TO KC 15 FOR 5 YARDS (27-C.CONNER).,Short,Left,1
(10:34) 10-B.NIX PASS SHORT MIDDLE TO 33-J.WILLIAMS TO KC 24 FOR 12 YARDS (44-CA.JONES).,Short,Middle,1
"(2:54) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 19-M.MIMS FOR 7 YARDS, TOUCHDOWN.",Short,Right,1
"(3:39) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT LEFT TO 14-C.SUTTON (2-J.WILLIAMS).",Short,Left,0
(4:08) 10-B.NIX PASS DEEP LEFT TO 17-D.VELE TO KC 10 FOR 32 YARDS (30-C.ROLAND-WALLACE).,Deep,Left,1
"(5:33) (SHOTGUN) 10-B.NIX PASS SHORT MIDDLE TO 82-A.TRAUTMAN FOR 13 YARDS, TOUCHDOWN.",Short,Middle,1
"(7:12) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS SHORT MIDDLE INTENDED FOR 84-L.HUMPHREY INTERCEPTED BY 44-Z.FRANKLIN AT IND 26. 44-Z.FRANKLIN TO IND 30 FOR 4 YARDS (84-L.HUMPHREY).",Short,Middle,0
(2:02) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT RIGHT TO 17-D.VELE.,Short,Right,0
"(3:14) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 14-C.SUTTON FOR 6 YARDS, TOUCHDOWN.",Short,Right,1
(5:01) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT RIGHT TO 14-C.SUTTON.,Short,Right,0
"(5:38) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 19-M.MIMS TO CIN 32 FOR 8 YARDS (59-A.DAVIS-GAITHER; 28-J.NEWTON). FUMBLES (59-A.DAVIS-GAITHER), BALL OUT OF BOUNDS AT CIN 27.",Short,Right,1
(:21) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 33-J.WILLIAMS TO CIN 25 FOR 6 YARDS (29-C.TAYLOR-BRITT).,Short,Left,1
"(:26) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS INCOMPLETE DEEP LEFT TO 14-C.SUTTON.",Deep,Left,0
"(:49) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 85-L.KRULL TO CIN 31 FOR 3 YARDS (21-M.HILTON).",Short,Right,1
"(12:22) 79-M.PEART REPORTED IN AS ELIGIBLE.  10-B.NIX PASS SHORT RIGHT TO 20-M.BURTON FOR 1 YARD, TOUCHDOWN.",Short,Right,1
"(4:11) (NO HUDDLE) 10-B.NIX PASS INCOMPLETE SHORT RIGHT TO 33-J.WILLIAMS. PENALTY ON CLE-9-G.DELPIT, DEFENSIVE HOLDING, 0 YARDS, ENFORCED AT CLE 1 - NO PLAY.",Short,Right,0
(9:16) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 19-M.MIMS TO LAC 23 FOR 8 YARDS (23-T.JEFFERSON; 97-J.BOSA).,Short,Right,1
(9:22) (SHOTGUN) 10-B.NIX PASS INCOMPLETE DEEP RIGHT TO 19-M.MIMS.,Deep,Right,0
(3:37) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 19-M.MIMS TO CLE 9 FOR 5 YARDS (94-D.TOMLINSON).,Short,Right,1
"(1:54) (SHOTGUN) 10-B.NIX PASS INCOMPLETE DEEP LEFT TO 14-C.SUTTON. PENALTY ON LV-25-D.RICHARDSON, DEFENSIVE PASS INTERFERENCE, 17 YARDS, ENFORCED AT LV 49 - NO PLAY.",Deep,Left,0
(2:00) 79-M.PEART REPORTED IN AS ELIGIBLE.  10-B.NIX PASS INCOMPLETE SHORT LEFT TO 33-J.WILLIAMS.,Short,Left,0
(12:08) (SHOTGUN) 79-M.PEART REPORTED IN AS ELIGIBLE.  10-B.NIX PASS DEEP MIDDLE TO 17-D.VELE TO LV 26 FOR 24 YARDS (25-D.RICHARDSON).,Medium,Middle,1
