desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,td_player_name
(14:29) 15-T.Johnson right end to PHI 41 for 5 yards (7-K.Ringo).,run,Half2,20,4,1.0,5.0,0.0,0.0,,0.0,0.0,0,,
(11:48) 7-B.Irving right tackle to PHI 42 for 5 yards (27-Q.Mitchell; 53-Z.Baun).,run,Half2,22,4,1.0,5.0,0.0,0.0,,0.0,0.0,0,,
(10:54) (Shotgun) Direct snap to 7-B.Irving. 7-B.Irving up the middle to PHI 30 for 7 yards (32-R.Blankenship).,run,Half2,22,4,1.0,7.0,0.0,0.0,,0.0,0.0,0,,
(10:12) 7-B.Irving left end to PHI 23 for 7 yards (94-B.Young).,run,Half2,22,4,2.0,7.0,0.0,0.0,,0.0,0.0,0,,
(9:27) 1-R.White right end to PHI 22 for 1 yard (24-A.Mukuba; 0-J.Uche).,run,Half2,22,4,1.0,1.0,0.0,0.0,,0.0,0.0,0,,
(6:07) (Shotgun) 6-B.Mayfield scrambles right end ran ob at TB 28 for 6 yards (53-Z.Baun).,run,Half2,24,4,1.0,6.0,0.0,0.0,,0.0,0.0,0,,
(5:25) (Shotgun) 7-B.Irving right guard to TB 31 for 3 yards (94-B.Young; 52-Z.Smith).,run,Half2,24,4,2.0,3.0,0.0,0.0,,0.0,0.0,0,,
(4:47) 2-E.Egbuka left end to TB 31 for no gain (53-Z.Baun).,run,Half2,24,4,3.0,0.0,0.0,0.0,,1.0,0.0,0,,
(4:05) 1-R.White left end to TB 33 for 2 yards (33-C.DeJean).,run,Half2,24,4,4.0,2.0,0.0,0.0,,0.0,1.0,0,,
(3:18) 1-R.White up the middle to PHI 45 for 4 yards (52-Z.Smith; 97-M.Ojomo).,run,Half2,24,4,1.0,4.0,0.0,0.0,,0.0,0.0,0,,
(2:33) (Shotgun) 6-B.Mayfield scrambles up the middle to PHI 38 for 7 yards (0-J.Uche).,run,Half2,24,4,3.0,7.0,0.0,0.0,,0.0,0.0,0,,
(2:01) 7-B.Irving left guard to PHI 40 for 3 yards (7-K.Ringo).,run,Half2,24,4,1.0,3.0,0.0,0.0,,0.0,0.0,0,,
"(14:56) 1-R.White up the middle to TB 19 for -1 yards (8-C.Bryant, 99-L.Williams).",run,Half1,1,1,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,
(12:16) 1-R.White left guard to SEA 32 for 5 yards (13-E.Jones; 7-U.Nwosu).,run,Half1,1,1,2.0,5.0,0.0,0.0,,0.0,0.0,0,,
"(11:36) 1-R.White right guard to SEA 29 for 3 yards (27-T.Woolen, 58-D.Hall).",run,Half1,1,1,3.0,3.0,0.0,0.0,,0.0,0.0,0,,
(8:40) (Shotgun) 6-B.Mayfield scrambles up the middle to SEA 12 for 4 yards (3-N.Emmanwori).,run,Half1,1,1,3.0,4.0,0.0,0.0,,1.0,0.0,0,,
(4:00) (Shotgun) 1-R.White right guard to TB 40 for 6 yards (42-D.Thomas).,run,Half1,3,1,2.0,6.0,0.0,0.0,,0.0,0.0,0,,
(3:26) (Shotgun) 6-B.Mayfield scrambles right end to TB 48 for 8 yards (39-T.Okada).,run,Half1,3,1,3.0,8.0,0.0,0.0,,0.0,0.0,0,,
(2:41) 1-R.White left guard to TB 49 for 1 yard (53-B.Mafe; 99-L.Williams).,run,Half1,3,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,,
(1:25) 19-K.Johnson right end to SEA 40 for 2 yards (39-T.Okada).,run,Half1,3,1,1.0,2.0,0.0,0.0,,0.0,0.0,0,,
(:41) (Shotgun) 6-B.Mayfield scrambles right end to SEA 21 for 3 yards (48-T.Knight).,run,Half1,3,1,1.0,3.0,0.0,0.0,,0.0,0.0,0,,
(11:22) 44-S.Tucker left guard to TB 7 for 1 yard (91-B.Murphy).,run,Half1,5,2,1.0,1.0,0.0,0.0,,0.0,0.0,0,,
(5:44) 17-S.Shepard right end to SEA 40 for -5 yards (48-T.Knight).,run,Half1,7,2,1.0,-5.0,0.0,0.0,,0.0,0.0,0,,
(5:01) (Shotgun) 6-B.Mayfield scrambles up the middle to SEA 39 for 1 yard (7-U.Nwosu).,run,Half1,7,2,2.0,1.0,0.0,0.0,,0.0,0.0,0,,
"(2:14) 1-R.White left end for 7 yards, TOUCHDOWN.",run,Half1,7,2,1.0,7.0,0.0,0.0,,0.0,0.0,0,,R.White
"(10:14) (Shotgun) 1-R.White up the middle to SEA 42 for 9 yards (39-T.Okada; 8-C.Bryant). Penalty on SEA-53-B.Mafe, Defensive Offside, declined.",run,Half2,11,3,2.0,9.0,0.0,0.0,,0.0,0.0,0,,
(9:01) (Shotgun) 44-S.Tucker right end to SEA 12 for 3 yards (27-T.Woolen). SEA-27-T.Woolen was injured during the play.,run,Half2,11,3,1.0,3.0,0.0,0.0,,0.0,0.0,0,,
(8:37) (Shotgun) 1-R.White left end to SEA 20 for -8 yards (53-B.Mafe).,run,Half2,11,3,2.0,-8.0,0.0,0.0,,0.0,0.0,0,,
(3:30) (Shotgun) 44-S.Tucker left end to TB 43 for -1 yards (3-N.Emmanwori).,run,Half2,13,3,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,
"(:48) 1-R.White left guard to SEA 1 for 1 yard (13-E.Jones). PENALTY on SEA-99-L.Williams, Unnecessary Roughness, 0 yards, enforced at SEA 1.",run,Half2,13,3,1.0,1.0,0.0,1.0,,0.0,0.0,1,,
"(:23) 1-R.White left end for 1 yard, TOUCHDOWN.",run,Half2,13,3,1.0,1.0,0.0,0.0,,0.0,0.0,0,,R.White
(8:34) 1-R.White left guard to SEA 32 for 2 yards (91-B.Murphy; 13-E.Jones). SEA-3-N.Emmanwori was injured during the play.,run,Half2,15,4,1.0,2.0,0.0,0.0,,0.0,0.0,0,,
(:53) 1-R.White up the middle to SEA 32 for 3 yards (91-B.Murphy; 13-E.Jones).,run,Half2,19,4,1.0,3.0,0.0,0.0,,0.0,0.0,0,,
(:49) 1-R.White up the middle to SEA 32 for no gain (39-T.Okada; 48-T.Knight).,run,Half2,19,4,2.0,0.0,0.0,0.0,,0.0,0.0,0,,
(:45) 1-R.White right tackle to SEA 20 for 12 yards (28-N.Pritchett).,run,Half2,19,4,3.0,12.0,0.0,0.0,,0.0,0.0,0,,
(14:20) 1-R.White left tackle to TB 28 for 5 yards (54-F.Warner; 0-R.Green).,run,Half1,1,1,2.0,5.0,0.0,0.0,,0.0,0.0,0,,
(10:37) 1-R.White left guard to SF 2 for 10 yards (0-R.Green).,run,Half1,3,1,1.0,10.0,0.0,0.0,,0.0,0.0,0,,
"(9:58) 1-R.White up the middle for 2 yards, TOUCHDOWN.",run,Half1,3,1,1.0,2.0,0.0,0.0,,0.0,0.0,0,,R.White
(7:48) 1-R.White left tackle to TB 46 for 10 yards (27-J.Brown). SF-54-F.Warner was injured during the play.,run,Half1,5,1,1.0,10.0,0.0,0.0,,0.0,0.0,0,,
(7:33) 1-R.White up the middle to TB 47 for 1 yard (53-D.Winters; 99-C.West).,run,Half1,5,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,,
(1:08) (Shotgun) 1-R.White left tackle to TB 37 for 3 yards (48-T.Bethune).,run,Half1,7,1,1.0,3.0,0.0,0.0,,0.0,0.0,0,,
(10:14) 1-R.White left tackle to TB 34 for 2 yards (20-U.Stout; 48-T.Bethune).,run,Half1,9,2,1.0,2.0,0.0,0.0,,0.0,0.0,0,,
(7:26) 1-R.White right guard to SF 17 for 4 yards (99-C.West).,run,Half1,9,2,2.0,4.0,0.0,0.0,,0.0,0.0,0,,
(6:40) 1-R.White right guard to SF 13 for 4 yards (48-T.Bethune; 27-J.Brown).,run,Half1,9,2,3.0,4.0,0.0,0.0,,0.0,0.0,0,,
"(5:16) 44-S.Tucker left end for 9 yards, TOUCHDOWN.",run,Half1,9,2,2.0,9.0,0.0,0.0,,0.0,0.0,0,,S.Tucker
(1:58) 1-R.White right guard to TB 37 for 9 yards (6-M.Mustapha).,run,Half1,11,2,1.0,9.0,0.0,0.0,,0.0,0.0,0,,
TWO-POINT CONVERSION ATTEMPT. 1-R.White rushes left tackle. ATTEMPT FAILS.,run,Half1,11,2,,,0.0,0.0,,0.0,0.0,0,,
(7:21) 1-R.White up the middle to TB 40 for 6 yards (48-T.Bethune).,run,Half2,15,3,1.0,6.0,0.0,0.0,,0.0,0.0,0,,
(6:50) 1-R.White up the middle to TB 43 for 3 yards (57-L.Gifford).,run,Half2,15,3,2.0,3.0,0.0,0.0,,0.0,0.0,0,,
(6:15) 1-R.White left tackle to TB 45 for 2 yards (92-J.Elliott; 98-M.Williams).,run,Half2,15,3,3.0,2.0,0.0,0.0,,0.0,0.0,0,,
(4:21) (Shotgun) 6-B.Mayfield scrambles left end to SF 44 for 15 yards (48-T.Bethune).,run,Half2,15,3,3.0,15.0,0.0,0.0,,0.0,0.0,0,,
(3:31) 44-S.Tucker right end to SF 45 for -1 yards (36-M.Sigle).,run,Half2,15,3,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,
(13:13) 44-S.Tucker right tackle to TB 15 for 1 yard (95-A.Collins; 48-T.Bethune).,run,Half2,17,4,1.0,1.0,0.0,0.0,,0.0,0.0,0,,
(11:48) 44-S.Tucker left tackle to SF 43 for 6 yards (48-T.Bethune). TB-72-L.Haggard was injured during the play.,run,Half2,17,4,1.0,6.0,0.0,0.0,,0.0,0.0,0,,
