pass_length,pass_location,air_yards,play_type,desc,side_of_field,yardline_100,posteam,interception,pass_touchdown,qtr,receiver_player_name,complete_pass,week
short,right,3.0,pass,(3:52) (Shotgun) 10-B.Nix pass incomplete short right to 14-C.Sutton.,IND,3.0,DEN,0.0,0.0,2.0,C.Sutton,0.0,2
short,right,2.0,pass,"(3:06) (Shotgun) 63-A.Palczewski reported in as eligible. 10-B.Nix pass short right to 82-A.Trautman for 2 yards, TOUCHDOWN.",IND,2.0,DEN,0.0,1.0,2.0,A.Trautman,1.0,2
short,middle,3.0,pass,(1:25) (Shotgun) 10-B.Nix pass short middle to 11-T.Franklin to DEN 36 for 4 yards (20-N.Cross).,DEN,68.0,DEN,0.0,0.0,2.0,T.Franklin,1.0,2
short,left,-6.0,pass,"(1:00) (No Huddle, Shotgun) 10-B.Nix pass short left to 28-T.Badie to DEN 36 for no gain (44-Z.Franklin).",DEN,64.0,DEN,0.0,0.0,2.0,T.Badie,1.0,2
deep,middle,18.0,pass,"(:33) (No Huddle, Shotgun) 10-B.Nix pass incomplete deep middle to 11-T.Franklin.",DEN,64.0,DEN,0.0,0.0,2.0,T.Franklin,0.0,2
short,right,-5.0,pass,(14:18) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 46 for 1 yard (20-N.Cross).,DEN,55.0,DEN,0.0,0.0,3.0,M.Mims,1.0,2
short,left,6.0,pass,"(13:13) (No Huddle, Shotgun) 10-B.Nix pass short left to 14-C.Sutton to IND 30 for 6 yards (4-X.Howard).",IND,36.0,DEN,0.0,0.0,3.0,C.Sutton,1.0,2
short,middle,4.0,pass,(12:35) (Shotgun) 10-B.Nix pass short middle to 12-R.Harvey to IND 14 for 16 yards (0-C.Bynum; 44-Z.Franklin).,IND,30.0,DEN,0.0,0.0,3.0,R.Harvey,1.0,2
short,left,-1.0,pass,"(12:01) (No Huddle, Shotgun) 10-B.Nix pass short left to 11-T.Franklin to IND 5 for 9 yards (44-Z.Franklin).",IND,14.0,DEN,0.0,0.0,3.0,T.Franklin,1.0,2
short,right,1.0,pass,(5:36) (Shotgun) 10-B.Nix pass incomplete short right to 12-R.Harvey.,DEN,65.0,DEN,0.0,0.0,3.0,R.Harvey,0.0,2
short,right,-4.0,pass,(4:34) (Shotgun) 10-B.Nix pass short right to 28-T.Badie pushed ob at DEN 49 for 19 yards (29-M.Blackmon).,DEN,70.0,DEN,0.0,0.0,3.0,T.Badie,1.0,2
short,right,4.0,pass,(2:54) (Shotgun) 10-B.Nix pass incomplete short right to 1-E.Engram (20-N.Cross).,IND,45.0,DEN,0.0,0.0,3.0,E.Engram,0.0,2
short,left,0.0,pass,(12:55) 10-B.Nix pass short left to 27-J.Dobbins pushed ob at IND 26 for 9 yards (48-J.Bachie).,IND,35.0,DEN,0.0,0.0,4.0,J.Dobbins,1.0,2
deep,right,19.0,pass,(11:33) (Shotgun) 10-B.Nix pass deep right intended for 14-C.Sutton INTERCEPTED by 0-C.Bynum at IND 9. 0-C.Bynum to IND 9 for no gain (14-C.Sutton).,IND,28.0,DEN,1.0,0.0,4.0,C.Sutton,0.0,2
short,left,5.0,pass,(5:39) (Shotgun) 10-B.Nix pass short left to 1-E.Engram to IND 43 for 12 yards (23-K.Moore; 44-Z.Franklin).,DEN,55.0,DEN,0.0,0.0,4.0,E.Engram,1.0,2
short,left,0.0,pass,(3:59) (Shotgun) 10-B.Nix pass incomplete short left to 13-P.Bryant (94-T.Lewis).,IND,39.0,DEN,0.0,0.0,4.0,P.Bryant,0.0,2
short,right,-3.0,pass,(3:55) (Shotgun) 10-B.Nix pass short right to 11-T.Franklin to IND 24 for 15 yards (99-D.Buckner).,IND,39.0,DEN,0.0,0.0,4.0,T.Franklin,1.0,2
short,right,-3.0,pass,(11:49) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey to DEN 36 for 3 yards (48-B.Dupree).,DEN,67.0,DEN,0.0,0.0,1.0,R.Harvey,1.0,3
short,middle,5.0,pass,"(10:26) (No Huddle, Shotgun) 10-B.Nix pass incomplete short middle to 85-L.Krull.",DEN,60.0,DEN,0.0,0.0,1.0,L.Krull,0.0,3
short,right,6.0,pass,(5:47) (Shotgun) 10-B.Nix pass incomplete short right.,DEN,71.0,DEN,0.0,0.0,1.0,,0.0,3
short,right,-5.0,pass,(5:40) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey to DEN 38 for 9 yards (3-D.James).,DEN,71.0,DEN,0.0,0.0,1.0,R.Harvey,1.0,3
short,left,-7.0,pass,(1:56) 10-B.Nix pass incomplete short left to 27-J.Dobbins.,LAC,48.0,DEN,0.0,0.0,1.0,J.Dobbins,0.0,3
deep,left,17.0,pass,(1:52) (Shotgun) 10-B.Nix pass incomplete deep left to 14-C.Sutton (24-B.St-Juste).,LAC,48.0,DEN,0.0,0.0,1.0,C.Sutton,0.0,3
short,right,13.0,pass,(10:23) 10-B.Nix pass short right to 14-C.Sutton to DEN 22 for 13 yards (29-T.Still).,DEN,91.0,DEN,0.0,0.0,2.0,C.Sutton,1.0,3
deep,middle,18.0,pass,(8:19) (Shotgun) 10-B.Nix pass deep middle to 14-C.Sutton to DEN 46 for 19 yards (23-T.Jefferson).,DEN,73.0,DEN,0.0,0.0,2.0,C.Sutton,1.0,3
,,,pass,(7:38) (Shotgun) 10-B.Nix sacked at DEN 40 for -6 yards (3-D.James).,DEN,54.0,DEN,0.0,0.0,2.0,,0.0,3
deep,right,47.0,pass,(6:13) (Shotgun) 10-B.Nix pass incomplete deep right to 19-M.Mims [91-D.Hand].,DEN,63.0,DEN,0.0,0.0,2.0,M.Mims,0.0,3
short,left,7.0,pass,(1:46) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to DEN 36 for 8 yards (3-D.James).,DEN,72.0,DEN,0.0,0.0,2.0,C.Sutton,1.0,3
short,middle,14.0,pass,"(1:26) (No Huddle, Shotgun) 10-B.Nix pass incomplete short middle to 11-T.Franklin (91-D.Hand).",DEN,64.0,DEN,0.0,0.0,2.0,T.Franklin,0.0,3
short,right,4.0,pass,(1:22) (Shotgun) 10-B.Nix pass short right to 14-C.Sutton to DEN 40 for 4 yards (26-D.Jackson).,DEN,64.0,DEN,0.0,0.0,2.0,C.Sutton,1.0,3
short,left,15.0,pass,"(1:02) (No Huddle, Shotgun) 10-B.Nix pass incomplete short left to 19-M.Mims.",DEN,60.0,DEN,0.0,0.0,2.0,M.Mims,0.0,3
deep,right,25.0,pass,(:58) (Shotgun) 10-B.Nix pass incomplete deep right [29-T.Still].,DEN,60.0,DEN,0.0,0.0,2.0,,0.0,3
deep,left,34.0,pass,"(:46) (Shotgun) 10-B.Nix pass deep left to 14-C.Sutton for 52 yards, TOUCHDOWN.",DEN,52.0,DEN,0.0,1.0,2.0,C.Sutton,1.0,3
deep,right,28.0,pass,"(12:47) (No Huddle, Shotgun) 10-B.Nix pass incomplete deep right to 19-M.Mims [92-J.Eboigbe].",LAC,28.0,DEN,0.0,0.0,3.0,M.Mims,0.0,3
short,left,-2.0,pass,(12:41) (Shotgun) 10-B.Nix pass short left to 19-M.Mims pushed ob at LAC 24 for 4 yards (50-C.Murphy).,LAC,28.0,DEN,0.0,0.0,3.0,M.Mims,1.0,3
short,left,-4.0,pass,(5:29) 10-B.Nix pass short left to 11-T.Franklin to DEN 35 for 1 yard (43-T.Dye; 3-D.James).,DEN,66.0,DEN,0.0,0.0,3.0,T.Franklin,1.0,3
short,middle,2.0,pass,(4:30) (Shotgun) 10-B.Nix pass short middle to 12-R.Harvey to DEN 35 for 2 yards (29-T.Still).,DEN,67.0,DEN,0.0,0.0,3.0,R.Harvey,1.0,3
short,middle,6.0,pass,(15:00) (Shotgun) 10-B.Nix pass short middle to 85-L.Krull to LAC 32 for 9 yards (23-T.Jefferson; 3-D.James). (Virtual Measurement).,LAC,41.0,DEN,0.0,0.0,4.0,L.Krull,1.0,3
short,middle,8.0,pass,"(14:21) 10-B.Nix pass short middle to 14-C.Sutton to LAC 10 for 22 yards (32-A.Gilman). PENALTY on LAC-32-A.Gilman, Face Mask, 5 yards, enforced at LAC 10.",LAC,32.0,DEN,0.0,0.0,4.0,C.Sutton,1.0,3
short,right,5.0,pass,(12:28) (Shotgun) 10-B.Nix pass incomplete short right to 11-T.Franklin (23-T.Jefferson).,LAC,8.0,DEN,0.0,0.0,4.0,T.Franklin,0.0,3
short,left,-3.0,pass,(6:42) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to DEN 17 for 7 yards (32-A.Gilman).,DEN,90.0,DEN,0.0,0.0,4.0,T.Franklin,1.0,3
,,,pass,(2:31) (Shotgun) 10-B.Nix sacked ob at DEN 22 for 0 yards (43-T.Dye).,DEN,78.0,DEN,0.0,0.0,4.0,,0.0,3
short,right,-6.0,pass,(2:25) (Shotgun) 10-B.Nix pass short right to 27-J.Dobbins to DEN 22 for no gain (23-T.Jefferson).,DEN,78.0,DEN,0.0,0.0,4.0,J.Dobbins,1.0,3
deep,left,45.0,pass,(2:00) (Shotgun) 10-B.Nix pass incomplete deep left to 14-C.Sutton.,DEN,78.0,DEN,0.0,0.0,4.0,C.Sutton,0.0,3
short,right,5.0,pass,(8:23) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 38 for 5 yards (23-D.Hill).,DEN,67.0,DEN,0.0,0.0,1.0,M.Mims,1.0,4
deep,right,16.0,pass,(3:49) 10-B.Nix pass incomplete deep right to 11-T.Franklin.,DEN,61.0,DEN,0.0,0.0,1.0,T.Franklin,0.0,4
short,middle,3.0,pass,(3:43) (Shotgun) 10-B.Nix pass short middle to 14-C.Sutton to CIN 49 for 12 yards (28-J.Newton).,DEN,61.0,DEN,0.0,0.0,1.0,C.Sutton,1.0,4
short,right,6.0,pass,(3:05) 10-B.Nix pass short right to 82-A.Trautman pushed ob at CIN 23 for 26 yards (44-D.Knight).,CIN,49.0,DEN,0.0,0.0,1.0,A.Trautman,1.0,4
short,right,6.0,pass,(:27) (Shotgun) 10-B.Nix pass incomplete short right to 13-P.Bryant.,CIN,6.0,DEN,0.0,0.0,1.0,P.Bryant,0.0,4
short,left,-5.0,pass,(11:52) (Shotgun) 10-B.Nix pass short left to 19-M.Mims pushed ob at DEN 31 for 11 yards (22-G.Stone; 20-D.Turner).,DEN,80.0,DEN,0.0,0.0,2.0,M.Mims,1.0,4
short,right,4.0,pass,"(11:20) (No Huddle, Shotgun) 10-B.Nix pass incomplete short right to 82-A.Trautman.",DEN,69.0,DEN,0.0,0.0,2.0,A.Trautman,0.0,4
short,left,1.0,pass,(11:15) (Shotgun) 10-B.Nix pass short left to 82-A.Trautman pushed ob at DEN 37 for 6 yards (29-C.Taylor-Britt).,DEN,69.0,DEN,0.0,0.0,2.0,A.Trautman,1.0,4
short,left,7.0,pass,"(10:39) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton pushed ob at CIN 44 for 19 yards (22-G.Stone). Penalty on CIN-99-M.Murphy, Defensive Offside, declined.",DEN,63.0,DEN,0.0,0.0,2.0,C.Sutton,1.0,4
short,left,14.0,pass,(10:08) (Shotgun) 10-B.Nix pass incomplete short left to 12-R.Harvey.,CIN,44.0,DEN,0.0,0.0,2.0,R.Harvey,0.0,4
short,left,4.0,pass,(9:24) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to CIN 16 for 22 yards (44-D.Knight). CIN-44-D.Knight was injured during the play.,CIN,38.0,DEN,0.0,0.0,2.0,C.Sutton,1.0,4
